Année,nom des bénéficiaires,Montant du fonds de concours ou de la subvention (numéraire),Prestations en nature
2016,LES DISQUES DU FENNEC,5000,
2016,MAISON DE SANTE PROTESTANTE DE BORDEAUX BAGATELLE,5000,
2016,UNIVERSITE SCIENCES TECHNOLOGIES LILLE 1 - CUEEP,5000,
2016,WIMOOV,5000,
2016,BORDEAUX METROPOLE,5000,
2016,ASSOCIATION DES COMMERCANTS DE LA BARRIERE JUDAIQUE,4880,Matériel pour manifestations
2016,ASPOM JUDO CLUB,4850,
2016,ASSOCIATION DES COMMERCANTS DU CENTRE COMMERCIAL MERIADECK,4700,
2016,"LE LABO, REVELATEUR D'IMAGES",4634,Matériel pour manifestations
2016,ASSOCIATION SPORTIVE DU GOLF DE BORDEAUX LAC,4600,Matériel pour manifestations
2016,ATELIER D'ECO SOLIDAIRE,4550,Matériel pour manifestations
2016,ACCORDERIE BORDEAUX,4500,Locaux
2016,"ALLIANCE DEPARTEMENT 33, JUSQU'AU BOUT ACCOMPAGNER LA VIE...",4500,Locaux
2016,EN ROUTE POUR TRAVAILLER,4500,
2016,IMAGINA MUSIC,4500,Locaux
2016,L'ESPRIT DU PIANO,4500,"Communication, locaux"
2016,LA TRIBALE DEMARCHE,4500,Matériel pour manifestations
2016,LUDOLUDIK,4500,Matériel pour manifestations
2016,MAM LES LUCIOLES,4500,
2016,ASSOCIATION DES COMMERCANTS DE LA RUE DES REMPARTS,4420,
2016,ASSOCIATION DES EXPLOITANTS DU CENTRE COMMERCIAL QUAI DES MARQUES,4400,
2016,SAINT CHRISTOLY GIE,4400,
2016,Ô PLAFOND Entreprises,4300,Matériel pour manifestations
2016,FOOT BALL CLUB BORDEAUX AQUITAINE 33,4250,Equipements sportifs
2016,ASSOCIATION DES ECLAIREUSES ET ECLAIREURS DE FRANCE - REGION AQUITAINE,4072,Matériel pour manifestations
2016,AMICALE DES LOCATAIRES DU PORT DE LA LUNE,4000,
2016,AR'KHAN,4000,
2016,ASSOCIATION DE GESTION DES CENTRES PSYCHANALYTIQUES DE CONSULTATIONS ET DE TRAITEMENT (CPCT),4000,Locaux
2016,ASSOCIATION DE SOLIDARITE AVEC TOUS LES IMMIGRES - BORDEAUX (ASTI BORDEAUX),4000,Locaux
2016,ASSOCIATION DES COMMERÇANTS DU QUARTIER SAINT MICHEL AUTOUR DE LA FLECHE,4000,
2016,ASSOCIATION LES CREANTS,4000,Locaux
2016,ASSOCIATION SPORT EMPLOI,4000,
2016,BORDEAUX-BASTIDE-ESCRIME,4000,"Equipements sportifs, matériel pour manifestations"
2016,BREV’ART ,4000,"Locaux, matériel pour manifestations, matériel"
2016,DATCHA,4000,
2016,DRISSE,4000,
2016,ECOM33,4000,
2016,ELLIPTIQUE DYNAMO,4000,
2016,EQUIPE SAINT VINCENT BORDEAUX CENTRE,4000,
2016,GROUPE 33,4000,
2016,JEUNES MUSULMANS DE LA GIRONDE - JMG,4000,Locaux
2016,L'ATELIER DES BAINS DOUCHES,4000,
2016,LE QUAI AUX LIVRES,4000,
2016,LES AMIS DU GRAND THEATRE - OPERA DE BORDEAUX,4000,"Locaux, matériel pour manifestations"
2016,MA PTITE MAM ECOLO,4000,
2016,MOUVEMENT AUTONOME DE DETOURNEMENT EURISTIQUE (MADE),4000,
